,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Category,Sub-Category,Sales,Month,Year
33,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,15.76,September,2016
34,CA-2018-107727,2018-10-19,Second Class,MA-17560,Matt Abelman,Home Office,Texas,Office Supplies,Paper,29.472,October,2018
35,CA-2017-117590,2017-08-12,First Class,GH-14485,Gene Hale,Corporate,Texas,Technology,Phones,1097.544,August,2017
36,CA-2017-117590,2017-08-12,First Class,GH-14485,Gene Hale,Corporate,Texas,Furniture,Furnishings,190.92,August,2017
37,CA-2016-117415,2016-12-27,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Office Supplies,Envelopes,113.328,December,2016
38,CA-2016-117415,2016-12-27,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Furniture,Bookcases,532.3992,December,2016
39,CA-2016-117415,2016-12-27,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Furniture,Chairs,212.058,December,2016
40,CA-2016-117415,2016-12-27,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Technology,Phones,371.168,December,2016
41,CA-2018-120999,2018-10-09,Standard Class,LC-16930,Linda Cazamias,Corporate,Illinois,Technology,Phones,147.168,October,2018
42,CA-2017-101343,2017-07-17,Standard Class,RA-19885,Ruben Ausman,Corporate,California,Office Supplies,Storage,77.88,July,2017
43,CA-2018-139619,2018-09-19,Standard Class,ES-14080,Erin Smith,Corporate,Florida,Office Supplies,Storage,95.616,September,2018
44,CA-2017-118255,2017-11-03,First Class,ON-18715,Odella Nelson,Corporate,Minnesota,Technology,Accessories,45.98,November,2017
45,CA-2017-118255,2017-11-03,First Class,ON-18715,Odella Nelson,Corporate,Minnesota,Office Supplies,Binders,17.46,November,2017
46,CA-2015-146703,2015-10-20,Second Class,PO-18865,Patrick O'Donnell,Consumer,Michigan,Office Supplies,Storage,211.96,October,2015
47,CA-2017-169194,2017-06-20,Standard Class,LH-16900,Lena Hernandez,Consumer,Delaware,Technology,Accessories,45.0,June,2017
48,CA-2017-169194,2017-06-20,Standard Class,LH-16900,Lena Hernandez,Consumer,Delaware,Technology,Phones,21.8,June,2017
49,CA-2016-115742,2016-04-18,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Office Supplies,Binders,38.22,April,2016
50,CA-2016-115742,2016-04-18,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Office Supplies,Labels,75.18,April,2016
51,CA-2016-115742,2016-04-18,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Furniture,Furnishings,6.16,April,2016
52,CA-2016-115742,2016-04-18,Standard Class,DP-13000,Darren Powers,Consumer,Indiana,Furniture,Chairs,89.99,April,2016
53,CA-2017-105816,2017-11-12,Standard Class,JM-15265,Janet Molinari,Corporate,New York,Office Supplies,Fasteners,15.26,November,2017
54,CA-2017-105816,2017-11-12,Standard Class,JM-15265,Janet Molinari,Corporate,New York,Technology,Phones,1029.95,November,2017
55,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Office Supplies,Storage,208.56,June,2017
56,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Office Supplies,Paper,32.4,June,2017
57,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Furniture,Chairs,319.41,June,2017
58,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Office Supplies,Paper,14.56,June,2017
59,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Technology,Accessories,30.0,June,2017
60,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Office Supplies,Binders,48.48,June,2017
61,CA-2017-111682,2017-06-17,First Class,TB-21055,Ted Butterfield,Consumer,New York,Office Supplies,Art,1.68,June,2017
62,CA-2016-135545,2016-11-24,Standard Class,KM-16720,Kunst Miller,Consumer,California,Technology,Accessories,13.98,November,2016
63,CA-2016-135545,2016-11-24,Standard Class,KM-16720,Kunst Miller,Consumer,California,Office Supplies,Binders,25.824,November,2016
64,CA-2016-135545,2016-11-24,Standard Class,KM-16720,Kunst Miller,Consumer,California,Office Supplies,Paper,146.73,November,2016
65,CA-2016-135545,2016-11-24,Standard Class,KM-16720,Kunst Miller,Consumer,California,Furniture,Furnishings,79.76,November,2016
66,US-2016-164175,2016-04-30,Standard Class,PS-18970,Paul Stevenson,Home Office,Illinois,Furniture,Chairs,213.115,April,2016
67,CA-2015-106376,2015-05-12,Standard Class,BS-11590,Brendan Sweed,Corporate,Arizona,Office Supplies,Art,1113.024,May,2015
68,CA-2015-106376,2015-05-12,Standard Class,BS-11590,Brendan Sweed,Corporate,Arizona,Technology,Phones,167.968,May,2015
69,CA-2017-119823,2017-04-06,First Class,KD-16270,Karen Daniels,Consumer,Virginia,Office Supplies,Paper,75.88,April,2017
70,CA-2017-106075,2017-09-18,Standard Class,HM-14980,Henry MacAllister,Consumer,New York,Office Supplies,Binders,4.616,September,2017
71,CA-2018-114440,2018-09-14,Second Class,TB-21520,Tracy Blumstein,Consumer,Michigan,Office Supplies,Paper,19.05,September,2018
72,US-2016-134026,2016-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,Furniture,Chairs,831.936,April,2016
73,US-2016-134026,2016-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,Furniture,Furnishings,97.04,April,2016
74,US-2016-134026,2016-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,Tennessee,Office Supplies,Storage,72.784,April,2016
75,US-2018-118038,2018-09-12,First Class,KB-16600,Ken Brennan,Corporate,Texas,Office Supplies,Binders,1.248,September,2018
76,US-2018-118038,2018-09-12,First Class,KB-16600,Ken Brennan,Corporate,Texas,Furniture,Furnishings,9.708,September,2018
77,US-2018-118038,2018-09-12,First Class,KB-16600,Ken Brennan,Corporate,Texas,Office Supplies,Storage,27.24,September,2018
78,US-2015-147606,2015-11-26,Second Class,JE-15745,Joel Eaton,Consumer,Texas,Furniture,Furnishings,19.3,November,2015
79,CA-2017-127208,2017-12-06,First Class,SC-20770,Stewart Carmichael,Corporate,Alabama,Office Supplies,Appliances,208.16,December,2017
80,CA-2017-127208,2017-12-06,First Class,SC-20770,Stewart Carmichael,Corporate,Alabama,Office Supplies,Binders,16.74,December,2017
81,CA-2015-139451,2015-12-10,Standard Class,DN-13690,Duane Noonan,Consumer,California,Office Supplies,Art,14.9,December,2015
82,CA-2015-139451,2015-12-10,Standard Class,DN-13690,Duane Noonan,Consumer,California,Office Supplies,Storage,21.39,December,2015
83,CA-2016-149734,2016-03-09,Standard Class,JC-16105,Julie Creighton,Corporate,North Carolina,Office Supplies,Envelopes,200.984,March,2016
84,US-2018-119662,2018-11-13,First Class,CS-12400,Christopher Schild,Home Office,Illinois,Office Supplies,Storage,230.376,November,2018
85,CA-2018-140088,2018-05-28,Second Class,PO-18865,Patrick O'Donnell,Consumer,South Carolina,Furniture,Chairs,301.96,May,2018
86,CA-2018-155558,2018-10-26,Standard Class,PG-18895,Paul Gonzalez,Consumer,Minnesota,Technology,Accessories,19.99,October,2018
87,CA-2018-155558,2018-10-26,Standard Class,PG-18895,Paul Gonzalez,Consumer,Minnesota,Office Supplies,Labels,6.16,October,2018
88,CA-2017-159695,2017-05-04,Second Class,GM-14455,Gary Mitchum,Home Office,Texas,Office Supplies,Storage,158.368,May,2017
89,CA-2017-109806,2017-09-17,Standard Class,JS-15685,Jim Sink,Corporate,California,Office Supplies,Art,20.1,September,2017
90,CA-2017-109806,2017-09-17,Standard Class,JS-15685,Jim Sink,Corporate,California,Technology,Phones,73.584,September,2017
91,CA-2017-109806,2017-09-17,Standard Class,JS-15685,Jim Sink,Corporate,California,Office Supplies,Paper,6.48,September,2017
92,CA-2016-149587,2016-01-31,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Office Supplies,Paper,12.96,January,2016
93,CA-2016-149587,2016-01-31,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Furniture,Furnishings,53.34,January,2016
94,CA-2016-149587,2016-01-31,Second Class,KB-16315,Karl Braun,Consumer,Minnesota,Office Supplies,Binders,32.96,January,2016
95,US-2018-109484,2018-06-11,Standard Class,RB-19705,Roger Barcio,Home Office,Oregon,Office Supplies,Binders,5.682,June,2018
96,CA-2018-161018,2018-09-11,Second Class,PN-18775,Parhena Norris,Home Office,New York,Furniture,Furnishings,96.53,September,2018
97,CA-2018-157833,2018-06-17,First Class,KD-16345,Katherine Ducich,Consumer,California,Office Supplies,Binders,51.312,June,2018
98,CA-2017-149223,2017-06-09,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Minnesota,Office Supplies,Appliances,77.88,June,2017
99,CA-2017-158568,2017-08-29,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Office Supplies,Paper,64.624,August,2017
100,CA-2017-158568,2017-08-29,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Technology,Accessories,95.976,August,2017
101,CA-2017-158568,2017-08-29,Standard Class,RB-19465,Rick Bensley,Home Office,Illinois,Office Supplies,Binders,1.788,August,2017
102,CA-2017-129903,2017-01-12,Second Class,GZ-14470,Gary Zandusky,Consumer,Minnesota,Office Supplies,Paper,23.92,January,2017
103,US-2016-156867,2016-11-13,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,Technology,Accessories,238.896,November,2016
104,US-2016-156867,2016-11-13,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,Furniture,Furnishings,102.36,November,2016
105,US-2016-156867,2016-11-13,Standard Class,LC-16870,Lena Cacioppo,Consumer,Colorado,Office Supplies,Binders,36.882,November,2016
106,CA-2018-119004,2018-11-23,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,Technology,Accessories,74.112,November,2018
107,CA-2018-119004,2018-11-23,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,Technology,Phones,27.992,November,2018
108,CA-2018-119004,2018-11-23,Standard Class,JM-15250,Janet Martin,Consumer,North Carolina,Office Supplies,Art,3.304,November,2018
109,CA-2016-129476,2016-10-15,Standard Class,PA-19060,Pete Armstrong,Home Office,Illinois,Technology,Accessories,339.96,October,2016
110,CA-2018-146780,2018-12-25,Standard Class,CV-12805,Cynthia Voltz,Corporate,New York,Furniture,Furnishings,41.96,December,2018
111,CA-2017-128867,2017-03-11,Standard Class,CL-12565,Clay Ludtke,Consumer,Iowa,Office Supplies,Art,75.96,March,2017
112,CA-2017-128867,2017-03-11,Standard Class,CL-12565,Clay Ludtke,Consumer,Iowa,Office Supplies,Binders,27.24,March,2017
113,CA-2015-115259,2015-08-25,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,Office Supplies,Fasteners,40.096,August,2015
114,CA-2015-115259,2015-08-25,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,4.72,August,2015
115,CA-2015-115259,2015-08-25,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,Office Supplies,Paper,23.976,August,2015
116,CA-2015-115259,2015-08-25,Second Class,RC-19960,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,130.464,August,2015
117,CA-2016-110457,2016-02-03,Standard Class,DK-13090,Dave Kipp,Consumer,Washington,Furniture,Tables,787.53,February,2016
118,US-2016-136476,2016-05-04,Standard Class,GG-14650,Greg Guthrie,Corporate,Tennessee,Office Supplies,Binders,157.794,May,2016
119,CA-2017-103730,2017-12-06,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,Furniture,Furnishings,47.04,December,2017
120,CA-2017-103730,2017-12-06,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,Office Supplies,Binders,30.84,December,2017
121,CA-2017-103730,2017-12-06,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,Office Supplies,Storage,226.56,December,2017
122,CA-2017-103730,2017-12-06,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,Office Supplies,Envelopes,115.02,December,2017
123,CA-2017-103730,2017-12-06,First Class,SC-20725,Steven Cartwright,Consumer,Delaware,Technology,Phones,68.04,December,2017
124,US-2015-152030,2015-12-26,Second Class,AD-10180,Alan Dominguez,Home Office,Texas,Furniture,Chairs,600.558,December,2015
125,US-2015-134614,2015-09-20,Standard Class,PF-19165,Philip Fox,Consumer,Illinois,Furniture,Tables,617.7,September,2015
126,US-2018-107272,2018-05-11,Standard Class,TS-21610,Troy Staebel,Consumer,Arizona,Office Supplies,Binders,2.388,May,2018
127,US-2018-107272,2018-05-11,Standard Class,TS-21610,Troy Staebel,Consumer,Arizona,Office Supplies,Storage,243.992,May,2018
128,US-2017-125969,2017-06-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,California,Furniture,Chairs,81.424,June,2017
129,US-2017-125969,2017-06-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,California,Furniture,Furnishings,238.56,June,2017
130,US-2018-164147,2018-02-02,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,Technology,Phones,59.97,February,2018
131,US-2018-164147,2018-02-02,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,Office Supplies,Paper,78.304,February,2018
132,US-2018-164147,2018-02-02,First Class,DW-13585,Dorothy Wardle,Corporate,Ohio,Office Supplies,Fasteners,21.456,February,2018
133,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Paper,20.04,October,2017
134,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Paper,35.44,October,2017
135,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Art,11.52,October,2017
136,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Fasteners,4.02,October,2017
137,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Binders,76.176,October,2017
138,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Office Supplies,Supplies,65.88,October,2017
139,CA-2017-145583,2017-10-13,Standard Class,LC-16885,Lena Creighton,Consumer,California,Furniture,Furnishings,43.12,October,2017
140,CA-2017-110366,2017-05-09,Second Class,JD-15895,Jonathan Doherty,Corporate,Pennsylvania,Furniture,Furnishings,82.8,May,2017
141,CA-2018-106180,2018-09-18,Standard Class,SH-19975,Sally Hughsby,Corporate,California,Office Supplies,Art,8.82,September,2018
142,CA-2018-106180,2018-09-18,Standard Class,SH-19975,Sally Hughsby,Corporate,California,Office Supplies,Envelopes,10.86,September,2018
143,CA-2018-106180,2018-09-18,Standard Class,SH-19975,Sally Hughsby,Corporate,California,Office Supplies,Paper,143.7,September,2018
144,CA-2018-155376,2018-12-22,Standard Class,SG-20080,Sandra Glassco,Consumer,Missouri,Office Supplies,Appliances,839.43,December,2018
145,CA-2016-110744,2016-07-09,Standard Class,HA-14920,Helen Andreada,Consumer,California,Office Supplies,Storage,671.93,July,2016
146,CA-2015-110072,2015-10-22,Standard Class,MG-17680,Maureen Gastineau,Home Office,Ohio,Furniture,Furnishings,93.888,October,2015
147,CA-2017-114489,2017-05-12,Standard Class,JE-16165,Justin Ellison,Corporate,Wisconsin,Technology,Phones,384.45,May,2017
148,CA-2017-114489,2017-05-12,Standard Class,JE-16165,Justin Ellison,Corporate,Wisconsin,Technology,Phones,149.97,May,2017
149,CA-2017-114489,2017-05-12,Standard Class,JE-16165,Justin Ellison,Corporate,Wisconsin,Furniture,Chairs,1951.84,May,2017
150,CA-2017-114489,2017-05-12,Standard Class,JE-16165,Justin Ellison,Corporate,Wisconsin,Office Supplies,Binders,171.55,May,2017
151,CA-2017-158834,2017-03-13,First Class,TW-21025,Tamara Willingham,Home Office,Arizona,Office Supplies,Appliances,157.92,March,2017
152,CA-2017-158834,2017-03-13,First Class,TW-21025,Tamara Willingham,Home Office,Arizona,Technology,Phones,203.184,March,2017
153,CA-2016-124919,2016-05-31,First Class,SP-20650,Stephanie Phelps,Corporate,California,Office Supplies,Paper,58.38,May,2016
154,CA-2016-124919,2016-05-31,First Class,SP-20650,Stephanie Phelps,Corporate,California,Office Supplies,Paper,105.52,May,2016
155,CA-2016-124919,2016-05-31,First Class,SP-20650,Stephanie Phelps,Corporate,California,Office Supplies,Storage,80.88,May,2016
156,CA-2016-118948,2016-05-28,Standard Class,NK-18490,Neil Knudson,Home Office,Washington,Office Supplies,Art,6.63,May,2016
157,CA-2015-104269,2015-01-03,Second Class,DB-13060,Dave Brooks,Consumer,Washington,Furniture,Chairs,457.568,January,2015
158,CA-2017-114104,2017-11-20,Standard Class,NP-18670,Nora Paige,Consumer,Oklahoma,Office Supplies,Labels,14.62,November,2017
159,CA-2017-114104,2017-11-20,Standard Class,NP-18670,Nora Paige,Consumer,Oklahoma,Technology,Phones,944.93,November,2017
160,CA-2017-162733,2017-11-05,First Class,TT-21070,Ted Trevino,Consumer,California,Office Supplies,Paper,5.98,November,2017
161,CA-2016-119697,2016-12-28,Second Class,EM-13960,Eric Murdock,Consumer,Pennsylvania,Technology,Accessories,54.384,December,2016
162,CA-2017-154508,2017-11-16,Standard Class,RD-19900,Ruben Dartt,Consumer,New Mexico,Office Supplies,Envelopes,28.4,November,2017
163,CA-2017-113817,2017-07-11,Standard Class,MJ-17740,Max Jones,Consumer,Washington,Office Supplies,Binders,27.68,July,2017
164,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Office Supplies,Art,9.936,August,2015
165,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Technology,Machines,8159.952,August,2015
166,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Office Supplies,Storage,275.928,August,2015
167,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Furniture,Chairs,1740.06,August,2015
168,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Office Supplies,Art,32.064,August,2015
169,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Office Supplies,Appliances,177.98,August,2015
170,CA-2015-139892,2015-08-09,Standard Class,BM-11140,Becky Martin,Consumer,Texas,Technology,Phones,143.976,August,2015
171,CA-2015-118962,2015-05-08,Standard Class,CS-12130,Chad Sievert,Consumer,California,Office Supplies,Paper,20.94,May,2015
172,CA-2015-118962,2015-05-08,Standard Class,CS-12130,Chad Sievert,Consumer,California,Office Supplies,Paper,110.96,May,2015
173,CA-2015-118962,2015-05-08,Standard Class,CS-12130,Chad Sievert,Consumer,California,Furniture,Chairs,340.144,May,2015
174,US-2015-100853,2015-09-14,Standard Class,JB-15400,Jennifer Braxton,Corporate,Illinois,Office Supplies,Appliances,52.448,September,2015
175,US-2015-100853,2015-09-14,Standard Class,JB-15400,Jennifer Braxton,Corporate,Illinois,Office Supplies,Labels,20.16,September,2015
176,US-2018-152366,2018-04-21,Second Class,SJ-20500,Shirley Jackson,Consumer,Texas,Office Supplies,Appliances,97.264,April,2018
177,US-2016-101511,2016-11-21,Second Class,JE-15745,Joel Eaton,Consumer,Ohio,Furniture,Chairs,396.802,November,2016
178,US-2016-101511,2016-11-21,Second Class,JE-15745,Joel Eaton,Consumer,Ohio,Office Supplies,Supplies,15.88,November,2016
179,CA-2016-137225,2016-12-15,Standard Class,JK-15640,Jim Kriz,Home Office,New York,Office Supplies,Art,3.28,December,2016
180,CA-2015-166191,2015-05-12,Second Class,DK-13150,David Kendrick,Corporate,Illinois,Office Supplies,Storage,24.816,May,2015
181,CA-2015-166191,2015-05-12,Second Class,DK-13150,David Kendrick,Corporate,Illinois,Technology,Accessories,408.744,May,2015
182,CA-2015-158274,2015-11-19,Second Class,RM-19675,Robert Marley,Home Office,Louisiana,Technology,Phones,503.96,November,2015
183,CA-2015-158274,2015-11-19,Second Class,RM-19675,Robert Marley,Home Office,Louisiana,Technology,Phones,149.95,November,2015
184,CA-2015-158274,2015-11-19,Second Class,RM-19675,Robert Marley,Home Office,Louisiana,Technology,Accessories,29.0,November,2015
185,CA-2017-105018,2017-11-28,Standard Class,SK-19990,Sally Knutson,Consumer,Connecticut,Office Supplies,Binders,7.16,November,2017
186,CA-2015-123260,2015-08-26,Standard Class,FM-14290,Frank Merwin,Home Office,California,Technology,Accessories,176.8,August,2015
187,CA-2017-157000,2017-07-16,Standard Class,AM-10360,Alice McCarthy,Corporate,Texas,Office Supplies,Storage,37.224,July,2017
188,CA-2017-157000,2017-07-16,Standard Class,AM-10360,Alice McCarthy,Corporate,Texas,Office Supplies,Paper,20.016,July,2017
189,CA-2016-102281,2016-12-10,First Class,MP-17470,Mark Packer,Home Office,New York,Furniture,Bookcases,899.136,December,2016
190,CA-2016-102281,2016-12-10,First Class,MP-17470,Mark Packer,Home Office,New York,Technology,Phones,71.76,December,2016
191,CA-2016-102281,2016-12-10,First Class,MP-17470,Mark Packer,Home Office,New York,Office Supplies,Paper,51.84,December,2016
192,CA-2016-102281,2016-12-10,First Class,MP-17470,Mark Packer,Home Office,New York,Furniture,Bookcases,626.352,December,2016
193,CA-2016-102281,2016-12-10,First Class,MP-17470,Mark Packer,Home Office,New York,Office Supplies,Art,19.9,December,2016
194,CA-2016-131457,2016-10-31,Standard Class,MZ-17515,Mary Zewe,Corporate,California,Office Supplies,Envelopes,14.28,October,2016
195,CA-2015-140004,2015-03-21,Standard Class,CB-12025,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,7.408,March,2015
196,CA-2015-140004,2015-03-21,Standard Class,CB-12025,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,6.048,March,2015
197,CA-2018-107720,2018-06-11,Standard Class,VM-21685,Valerie Mitchum,Home Office,New Jersey,Office Supplies,Storage,46.26,June,2018
198,US-2018-124303,2018-06-07,Standard Class,FH-14365,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Binders,2.946,June,2018
199,US-2018-124303,2018-06-07,Standard Class,FH-14365,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Paper,16.056,June,2018
200,CA-2018-105074,2018-06-24,Standard Class,MB-17305,Maria Bertelson,Consumer,Ohio,Office Supplies,Paper,21.744,June,2018
201,CA-2015-133690,2015-03-08,First Class,BS-11755,Bruce Stewart,Consumer,Colorado,Furniture,Tables,218.75,March,2015
202,CA-2015-133690,2015-03-08,First Class,BS-11755,Bruce Stewart,Consumer,Colorado,Office Supplies,Appliances,2.6,March,2015
203,US-2018-116701,2018-12-17,Second Class,LC-17140,Logan Currie,Consumer,Texas,Office Supplies,Appliances,66.284,December,2018
204,CA-2018-126382,2018-03-06,Standard Class,HK-14890,Heather Kirkland,Corporate,Tennessee,Furniture,Furnishings,35.168,March,2018
205,CA-2018-108329,2018-09-12,Standard Class,LE-16810,Laurel Elliston,Consumer,California,Technology,Phones,444.768,September,2018
206,CA-2018-135860,2018-01-12,Standard Class,JH-15985,Joseph Holt,Consumer,Michigan,Office Supplies,Storage,83.92,January,2018
207,CA-2018-135860,2018-01-12,Standard Class,JH-15985,Joseph Holt,Consumer,Michigan,Technology,Phones,131.98,January,2018
